1,1,false,Coral Gate,A Giant, half buried gate. Embedded are three stone tridents outlining an in-complete circle on the floor. There is an empty space among the three where a fourth should be.,0,3,4,2
1,2,false,Plaza of Tears,A paved public space of broken columns, torn down buildings, dirty wa-ter, and algae.,1,3,4,0
1,3,false,Grave Statue,A small shallow pond cen-tered in an obsolete room. A pedestal ordinately en-graved with white leaves emerges from the core of the pond.,1,0,4,2
1,4,false,Ocean Ruins,Cube towers made of sandstone. A set of stairs engraved on all four sides to enter inside,3,3,5,2
2,5,false,Poseidon's Trident,What appeared to be a grand broken gate was a rusty but majestic sea blue pitchfork stabbed into the floor. A tiny red glow at the corner of room faintly lights the way towards the inner city.,4,7,0,6
2,6,false,Choir of the Deep,A theater space with a stage and seats with different level platforms. Behind the stage is an aquarium.,5,7,8,0
2,7,false,Swirling Portal,Water swirls downwards into the ground at an alarming rate as if opening a portal but the surroundings stay unfazed. It looks like an illusion.,5,0,8,6
2,8,false,Statuary Hall,A chamber of statues facing different directions inside a large two-story semicircular room.,0,7,9,6
3,9,false,Tidal Wave,Wrinkled seaweed and sparkly shells line the calm seafloor, but you swore you could only see bubbles flooding the room last time. A feeling of heaviness from polluted water is vividly in your memory. Was I imagining? Maybe I can cross the room this time...,8,11,0,10
3,10,false,Ghost of Sea Chains,Ancient underwater chamber of weathered brick. Two tall walls connected by a rounded stone archway that dominates the center. Dim lighting. Ghosts appear from the shadows in chains.,9,0,12,0
3,11,false,Algae Pillars,Eerily quietness floods your ears. Crusted metal wraps around algae as if playing a game of Ring Around the Rosie. It steadily grows darker the more pillars you pass by. You push by a wad of green to get blinded into oblivion.,9,0,12,0
3,12,false,Great Bubble Submarine,A room with a vast glass sphere that creaks under the weight of the ocean. Its transparent walls distort the abyss outside it. The bubble transports to zone 4.,0,11,13,10
4,13,false,Hall of Illusions,Jagged walls surrounding the massive opening filled with doors lining the star-shaped hallway. Everywhere you look, there is another entryway further leading towards the core of the building. First, a dead-end. The second, another dead-end. Between the haziness, a narrow passageway flickers with the blending of the light leading you one step closer.,12,0,0,14
4,14,false,Crystal Spiral,A room with a jagged spiral staircase of crystal coils downward into the deep.,0,13,15,0
4,15,false,Fire Plank,Temperatures start to rise exponentially as you journey overweathered rocks past the underwater thermal vents huffing gray clouds of smoke. The still-standing skyscraper ceilings give hope that the magma isn’t hot enough to burn as you descend.,14,16,0,0
4,16,false,Vault of the Jellyfish,Arched corridor stretches ahead, uneven floor. Rough stone walls and faint light at the far end. Many jellyfish in groups are traveling around. Be careful of their tentacles.,17,0,0,15
5,17,false,Hall of Kings,Faded gold and royal blue interlace the rows and rows of meticulously carved statues. Each one a giant humanoid figure missing a different limb from the last. Ominous suspense flutters through the water. From the corner of your eyes, you see a headless figure gradually growing larger.,18,0,16,0
5,18,false,Submerged Throne Room,A throne sits broken and eroded. The room is made of coral and stone. The flooded hall draped in rotting seaweed.,0,17,19,0
5,19,false,Luminescent Trail,Somehow, the walls look clean and new. The ground, brightly lit and glowing. Smooth tiny pebbles scattered around resemble stars in the night sky.,18,20,0,0
5,20,false,Sanctuary of Lights,A scared chamber with rainbow lights that reflect off the smooth, pale walls that curve softly around the space. There is a large open clam platform with a sleeping boss on top.,0,0,19,0
