1 | 1 | Sword | Equip able | +10 deal damage | A steel weapon is used to attack the monsters with some damage.
2 | 9 | Spear | Equip able | +15 deal damage | A long steel weapon with a sharp point used to attack the monsters with more damage (compared to sword).
3 | 15 | Magic sword | Equip able | +20 deal damage | A shiny weapon that can cast magic to attack the monsters with more damage (compared to the sword or the spear).
4 | 4 | Shield | Equip able | Reduce monster attacks by 2 damage. | A plain wooden shield that is used to protect the player by decreasing damage taken from monsters.
5 | 14 | Armor | Equip able | Reduce monster attacks by 5 damage. | Thin leather clothing that the player can wear to protect the player which decreases the damage taken from monsters.
6 | 8, 15 | Transparent pearl | Consumable | N/A | Pure white orb that glows in your hands. It allows the player to be come invisible to monsters for 2 turns in bat tle.
7 | 12, 17 | Poseidon's Trident | Consumable | +30 deal damage | A spear-like weapon that deals with a one-time high-power attack.
8 | 5, 10 | Bypass | Consumable | N/A | A ticket that is used to pass a puzzle without having to solve it. (Skip a puzzle).
9 | 4, 8, 12, 16 | Health Potion | Consumable | Increase 20 HP of the player | A small bottle of red liquid that heals the player from past damage.
10 | 9 | Glyph Lens | Useable | N/A | A portable glass lens that is used to decode mes sages and find hidden doors.
11 | N/A: Monster drop | Turtle Shield | Equip able | Reduce monster attacks by 10 damage. | A shield made of the Big Head Turtle shell that protects the player by decreasing the monster's damage.
12 | N/A: P1 reward | Trident Key | Useable | N/A | A silver key that is used to unlock the door for P2.
13 | N/A: Monster Drop | Heart of Atlantis | Useable | N/A | A large shiny rainbow colored pearl that re stores Atlantis.
